Time(ND) X(ND) Y(ND) Z(ND) VX(ND) VY(ND) VZ(ND)
9.126512316360232413e-01 9.819750640556563770e-01 5.809652176120872619e-02 -2.420850755052423794e-03 8.355166812157978073e-01 -8.496765125431464671e-01 -8.243451184607663088e-03
9.171824017407426144e-01 9.858054786597225672e-01 5.409362110001161156e-02 -2.457824620835373074e-03 8.335521223667003987e-01 -8.697438540946661467e-01 -7.698079866148861000e-03
9.217870313107799918e-01 9.896907605995206580e-01 4.992266251394980592e-02 -2.492419410440951683e-03 8.322037561675438289e-01 -8.927805057384496923e-01 -6.965948703088779490e-03
9.254626650682539202e-01 9.927891436523025304e-01 4.650887331704700589e-02 -2.517204293400111381e-03 8.316634812136458610e-01 -9.137094427786712769e-01 -6.197150606264611658e-03
9.287754957363584252e-01 9.955810904996306165e-01 4.335908227668017895e-02 -2.536728136368127974e-03 8.316230444241063946e-01 -9.351255603533263905e-01 -5.304506173924479484e-03
9.317669715753410520e-01 9.981029796594745873e-01 4.044728179530089618e-02 -2.551408742761490569e-03 8.319593032577154990e-01 -9.571662323043724774e-01 -4.271475900381140577e-03
9.344747108460497165e-01 1.000387221399097859e+00 3.774861805104408330e-02 -2.561608815015199801e-03 8.325458591547039156e-01 -9.799726031646738278e-01 -3.079060937240486826e-03
9.371977607949381062e-01 1.002686558774325443e+00 3.496525766616354058e-02 -2.568064995144894117e-03 8.333324004566065035e-01 -1.006456453465593759e+00 -1.536245396609363942e-03
9.396538843861786949e-01 1.004762675427331331e+00 3.238556946447757739e-02 -2.569670425464829194e-03 8.340706072767337664e-01 -1.034314103518958694e+00 2.693925520554528636e-04
9.418640211048212585e-01 1.006632448658480783e+00 2.999885856619647490e-02 -2.566687943758008163e-03 8.345402920014013404e-01 -1.063576310762621047e+00 2.366345873322463992e-03
9.438598205772725791e-01 1.008321521389362818e+00 2.778152193113446466e-02 -2.559355411428835582e-03 8.345028578731611413e-01 -1.094413367573610518e+00 4.796045965443873800e-03
9.456694907957770013e-01 1.009852442186029764e+00 2.571158567130940598e-02 -2.547834442666993462e-03 8.336892475056252305e-01 -1.127009405561148148e+00 7.607298251717171597e-03
9.473178910318084123e-01 1.011244780655445208e+00 2.376887219069055354e-02 -2.532205431625744307e-03 8.317886539812019420e-01 -1.161561503088642144e+00 1.085784742237938354e-02
9.488271303854620697e-01 1.012515631266478700e+00 2.193455459275143668e-02 -2.512458044905867618e-03 8.284331122780898005e-01 -1.198285962121484083e+00 1.461710663400915371e-02
9.502173135580107566e-01 1.013680199467127396e+00 2.019042614305467664e-02 -2.488470316016172437e-03 8.231744338266075989e-01 -1.237431951543211506e+00 1.897075193260471318e-02
9.515073100616215918e-01 1.014752348318043396e+00 1.851798998796144041e-02 -2.459969321816051456e-03 8.154470747379133355e-01 -1.279303701753776501e+00 2.402832089451905143e-02
9.525881761734995568e-01 1.015641090360528853e+00 1.707087624967856473e-02 -2.430351859541719350e-03 8.058729658421075470e-01 -1.319259521862003348e+00 2.924988154560351564e-02
9.535575388125490104e-01 1.016427443611525261e+00 1.573287320428852151e-02 -2.398355513145168302e-03 7.938987053054556986e-01 -1.359433731054476180e+00 3.490341191690019690e-02
9.545313596045865712e-01 1.017203294833665783e+00 1.434592429795107996e-02 -2.359965330976946697e-03 7.774611097100018187e-01 -1.404381538097413618e+00 4.173311539733223774e-02
9.554085320867368170e-01 1.017885789314010969e+00 1.305594883264980452e-02 -2.318967351016209492e-03 7.576085787222454071e-01 -1.449068770603917367e+00 4.908929705032562957e-02
9.562011466326617581e-01 1.018484899823116629e+00 1.185402077420893985e-02 -2.275716029057041605e-03 7.343202980631123866e-01 -1.492904617262425404e+00 5.690653268844467205e-02
9.569258166909003771e-01 1.019013940263524987e+00 1.072265563043489807e-02 -2.230156949822327192e-03 7.074514420125760372e-01 -1.535660131451730415e+00 6.517448824273035235e-02
9.575964596567420051e-01 1.019483680227866174e+00 9.646416987436587029e-03 -2.182116838726674921e-03 6.768340763884816980e-01 -1.577106481640757840e+00 7.388741225631655085e-02
9.582246541769431358e-01 1.019902592142456932e+00 8.611859967852752290e-03 -2.131324347650580611e-03 6.422826212307659599e-01 -1.616980186534591857e+00 8.303946556059063622e-02
9.588204531740263104e-01 1.020277403484528778e+00 7.606635689712283425e-03 -2.077387265854272608e-03 6.035804966788818060e-01 -1.654980086749097579e+00 9.262604594182147211e-02
9.593928750675866368e-01 1.020613362208440567e+00 6.618985864726568968e-03 -2.019772296112388923e-03 5.604747141582070435e-01 -1.690747764722391633e+00 1.026422913461169234e-01
9.599504987988682903e-01 1.020914485782286052e+00 5.636970609756914927e-03 -1.957755017952183402e-03 5.126593721667469516e-01 -1.723851419913042360e+00 1.130835616710820918e-01
9.605016528988903346e-01 1.021183485875948538e+00 4.648348070492621352e-03 -1.890393817256929643e-03 4.597945767769116010e-01 -1.753737137385982470e+00 1.239373168700723254e-01
9.610540580260239496e-01 1.021421434986216070e+00 3.641481317695701575e-03 -1.816577405673280333e-03 4.016120018424778615e-01 -1.779654295846785583e+00 1.351595321066987598e-01
9.616032532829610346e-01 1.021623847640877436e+00 2.627193330822212396e-03 -1.736806725924586094e-03 3.393880581908582106e-01 -1.800263683365508349e+00 1.464178500252516779e-01
9.621285794417711035e-01 1.021783587467353316e+00 1.647553128990936590e-03 -1.654563263038363180e-03 2.768449145600588857e-01 -1.814278030218953175e+00 1.570275209172586894e-01
9.624658048072988192e-01 1.021868044796873543e+00 1.015319342990020921e-03 -1.598773657139081596e-03 2.357283764394285108e-01 -1.820057181710290628e+00 1.636380032564579701e-01
9.624658048072988192e-01 1.021868044796873543e+00 1.015319342990020921e-03 -1.598773657139081596e-03 2.357283764394285108e-01 -1.820057181710290628e+00 1.636380032564579701e-01
9.626347468239532246e-01 1.021904958173311506e+00 6.979360069544900645e-04 -1.569968467943783043e-03 2.149855882000397123e-01 -1.821972212208728514e+00 1.668662359350163438e-01
