Time(ND) X(ND) Y(ND) Z(ND) VX(ND) VY(ND) VZ(ND)
3.578486334559003584e-02 1.014245905432221484e+00 4.520226892742396085e-03 -5.881145214091940739e-04 -1.399248793900235155e+00 6.201519817459568706e-01 -7.688375844594685926e-02
3.606480505502344946e-02 1.013856307825927505e+00 4.677702318931713232e-03 -6.075961737088149796e-04 -1.445990459964936692e+00 5.061880131776540503e-01 -6.246120269254962221e-02
3.634441375759845522e-02 1.013455468668937653e+00 4.802709473556118422e-03 -6.229704587728069958e-04 -1.483082047618967225e+00 3.889389911811367839e-01 -4.763084650847682761e-02
3.662356798327748991e-02 1.013046316953847725e+00 4.894489324679869059e-03 -6.341438075302340775e-04 -1.510298683712777423e+00 2.692616918705524887e-01 -3.250171224777356760e-02
3.690243827515047453e-02 1.012631393919581013e+00 4.952613400268847388e-03 -6.410641734345398418e-04 -1.527513671908083293e+00 1.478994029213501760e-01 -1.716842788041156656e-02
3.718125880785376480e-02 1.012213154432654472e+00 4.976802251432763287e-03 -6.436984280208583962e-04 -1.534644582287147729e+00 2.557009202447874108e-02 -1.722393557255832638e-03
3.746009029167343685e-02 1.011794321575305133e+00 4.966908173234445799e-03 -6.420305365105650639e-04 -1.531648159464142012e+00 -9.692987662349596134e-02 1.373512860771096931e-02
3.773907440892664694e-02 1.011377501696838488e+00 4.922965412782673994e-03 -6.360675089769191309e-04 -1.518535184399053106e+00 -2.188383312199881359e-01 2.910724471190609050e-02
3.797421128418652925e-02 1.011029999638835442e+00 4.859696822526350136e-03 -6.277350211918419345e-04 -1.499689500361938377e+00 -3.204711778376194142e-01 4.191376468844910941e-02
3.818790869109300185e-02 1.010718691636955491e+00 4.781649098903884877e-03 -6.175739207738396115e-04 -1.476457651356884782e+00 -4.115169273507305325e-01 5.337868743558007306e-02
3.846311394845944309e-02 1.010326150433359382e+00 4.652833474197883533e-03 -6.009254806596139821e-04 -1.438130876967236516e+00 -5.263182655938496435e-01 6.782378479378368963e-02
3.873214702271193105e-02 1.009953799149565290e+00 4.496866409509181310e-03 -5.808722994142813097e-04 -1.391740061666131067e+00 -6.352128475633794791e-01 8.151258717945936150e-02
3.899393446731221069e-02 1.009604517100403109e+00 4.317524904482202344e-03 -5.578945978131090964e-04 -1.338407926325343889e+00 -7.373589627513993383e-01 9.433971866757764890e-02
3.925238864574743386e-02 1.009274341578782375e+00 4.114833723446289018e-03 -5.319923590109681012e-04 -1.278141395018902005e+00 -8.339157882073615635e-01 1.064510638891390804e-01
3.951070220444820313e-02 1.008960812016268305e+00 3.887980576399690212e-03 -5.030616263874341772e-04 -1.210698898768979737e+00 -9.256031121999201972e-01 1.179367208913638804e-01
3.976893007835497623e-02 1.008665647338874649e+00 3.638259047129156071e-03 -4.712684421763559161e-04 -1.136465108671671720e+00 -1.011918442497481863e+00 1.287333119700780348e-01
4.002710696223605452e-02 1.008390493670973331e+00 3.367094766703521581e-03 -4.367955236723920927e-04 -1.055863907230836229e+00 -1.092380582476050188e+00 1.387802376293751083e-01
4.028507087358478705e-02 1.008137075289592621e+00 3.076252709864049292e-03 -3.998685358386836462e-04 -9.694199974326648261e-01 -1.166485488678890237e+00 1.480141961326295330e-01
4.054309078684968648e-02 1.007906565973735846e+00 2.767123530530418447e-03 -3.606654567386281232e-04 -8.775467873934308383e-01 -1.233890100870032924e+00 1.563920980124891558e-01
4.080108571004503054e-02 1.007700367132808417e+00 2.441580958743792308e-03 -3.194254582258581623e-04 -7.808012305570883882e-01 -1.294184799635204275e+00 1.638626997309400590e-01
4.105900935376020910e-02 1.007519686564672945e+00 2.101566028416468421e-03 -2.763960291926010151e-04 -6.797602408247229722e-01 -1.347016587868821835e+00 1.703819887614706763e-01
4.131683567242469546e-02 1.007365554349303638e+00 1.749082463497077635e-03 -2.318323927278483825e-04 -5.750193235653591195e-01 -1.392084442544684553e+00 1.759125971783099263e-01
4.157466011318446814e-02 1.007238782188735415e+00 1.386033512391788994e-03 -1.859768970346627464e-04 -4.671440944411932583e-01 -1.429151202214749006e+00 1.804252289965290745e-01
4.183240456374637956e-02 1.007140121658046228e+00 1.014619707598611023e-03 -1.391092623879053747e-04 -3.567884699460507902e-01 -1.457997295586875852e+00 1.838930018640464736e-01
4.209008636934478964e-02 1.007070107277828752e+00 6.369555469984350751e-04 -9.149811238548196703e-05 -2.445807633616612076e-01 -1.478466625978156257e+00 1.862970677655928498e-01
4.234770841216462661e-02 1.007029117631635939e+00 2.552083560090686741e-04 -4.341850929926974634e-05 -1.311649453869426496e-01 -1.490448700119174630e+00 1.876244208756827903e-01
4.260530539827763613e-02 1.007017366005521497e+00 -1.284815090550201475e-04 4.858117511717987278e-06 -1.717693389121882283e-02 -1.493881363354620184e+00 1.878682051213722559e-01
